order_id,product_id,promo_id,promo_id_2
46253,2250,PROMO-0006,
46254,2251,PROMO-0006,
46257,785,PROMO-0006,
46257,786,PROMO-0006,
46258,1093,PROMO-0006,
46258,1094,PROMO-0006,
46266,1096,PROMO-0006,
46267,1095,PROMO-0006,
46269,2255,PROMO-0006,
46270,2254,PROMO-0006,
46271,2234,PROMO-0006,
46271,2235,PROMO-0006,
46272,1061,PROMO-0006,
46272,1062,PROMO-0006,
46273,1087,PROMO-0006,
46279,1409,PROMO-0006,
46280,1410,PROMO-0006,
46284,1436,PROMO-0006,
46285,1435,PROMO-0006,
46287,1065,PROMO-0006,
46287,1066,PROMO-0006,
46290,1086,PROMO-0006,
46291,1085,PROMO-0006,
46293,1439,PROMO-0006,
46293,1440,PROMO-0006,
46306,2253,PROMO-0006,
46307,2252,PROMO-0006,
46310,785,PROMO-0006,
46325,1543,PROMO-0006,
46325,1544,PROMO-0006,
46337,786,PROMO-0006,
46339,1597,PROMO-0006,
46346,767,PROMO-0006,
46346,768,PROMO-0006,
46348,1517,PROMO-0006,
46351,1443,PROMO-0006,
46352,1444,PROMO-0006,
46354,1962,PROMO-0006,
46354,1963,PROMO-0006,
46356,1990,PROMO-0006,
46360,1114,PROMO-0006,
46361,2254,PROMO-0006,
46362,2255,PROMO-0006,
46363,1114,PROMO-0006,
46367,1547,PROMO-0006,
46367,1548,PROMO-0006,
46368,1491,PROMO-0006,
46368,1492,PROMO-0006,
46370,761,PROMO-0006,
46370,762,PROMO-0006,
46371,1432,PROMO-0006,
46372,1431,PROMO-0006,
46373,2263,PROMO-0006,
46374,2262,PROMO-0006,
46375,1093,PROMO-0006,
46375,1094,PROMO-0006,
46378,2234,PROMO-0006,
46378,2235,PROMO-0006,
46379,785,PROMO-0006,
46379,786,PROMO-0006,
46381,1065,PROMO-0006,
46387,1597,PROMO-0006,
46388,1517,PROMO-0006,
46389,1518,PROMO-0006,
46392,2252,PROMO-0006,
46392,2253,PROMO-0006,
