shipment_id,order_id,shipper_id,delivery_date,ship_date
1,1,,7/11/2012,7/7/2012
2,2,,7/10/2012,7/6/2012
3,3,,7/7/2012,7/4/2012
4,4,,7/11/2012,7/5/2012
5,6,,7/16/2012,7/9/2012
6,7,,7/12/2012,7/6/2012
7,8,,7/11/2012,7/6/2012
8,9,,7/13/2012,7/7/2012
9,10,,7/13/2012,7/7/2012
10,13,,7/12/2012,7/9/2012
11,15,,7/10/2012,7/7/2012
12,16,,7/12/2012,7/7/2012
13,17,,7/11/2012,7/8/2012
14,18,,7/11/2012,7/6/2012
15,20,,7/14/2012,7/7/2012
16,21,,7/7/2012,7/4/2012
17,23,,7/12/2012,7/9/2012
18,24,,7/11/2012,7/8/2012
19,25,,7/13/2012,7/6/2012
20,28,,7/11/2012,7/7/2012
21,29,,7/14/2012,7/8/2012
22,30,,7/11/2012,7/7/2012
23,32,,7/12/2012,7/6/2012
24,33,,7/8/2012,7/5/2012
25,34,,7/11/2012,7/7/2012
26,35,,7/12/2012,7/6/2012
27,36,,7/9/2012,7/6/2012
28,38,,7/9/2012,7/6/2012
29,39,,7/9/2012,7/7/2012
30,41,,7/10/2012,7/5/2012
31,43,,7/8/2012,7/5/2012
32,44,,7/12/2012,7/8/2012
33,45,,7/12/2012,7/5/2012
34,47,,7/8/2012,7/6/2012
35,48,,7/6/2012,7/4/2012
36,49,,7/7/2012,7/4/2012
37,50,,7/7/2012,7/5/2012
38,52,,7/11/2012,7/7/2012
39,53,,7/12/2012,7/7/2012
40,56,,7/12/2012,7/6/2012
41,59,,7/9/2012,7/6/2012
42,60,,7/9/2012,7/5/2012
43,62,,7/13/2012,7/6/2012
44,63,,7/9/2012,7/7/2012
45,66,,7/6/2012,7/4/2012
46,67,,7/13/2012,7/6/2012
47,68,,7/13/2012,7/6/2012
48,70,,7/8/2012,7/6/2012
49,72,,7/9/2012,7/7/2012
50,74,,7/8/2012,7/4/2012
51,75,,7/13/2012,7/7/2012
52,76,,7/13/2012,7/7/2012
53,78,,7/10/2012,7/4/2012
54,79,,7/9/2012,7/7/2012
55,80,,7/10/2012,7/6/2012
56,81,,7/12/2012,7/5/2012
57,82,,7/11/2012,7/4/2012
58,83,,7/8/2012,7/6/2012
59,84,,7/11/2012,7/5/2012
60,85,,7/9/2012,7/5/2012
61,86,,7/12/2012,7/8/2012
62,87,,7/9/2012,7/5/2012
63,88,,7/9/2012,7/7/2012
64,89,,7/12/2012,7/6/2012
65,90,,7/11/2012,7/6/2012
66,91,,7/9/2012,7/7/2012
67,92,,7/10/2012,7/4/2012
68,93,,7/8/2012,7/6/2012
69,95,,7/13/2012,7/6/2012
70,96,,7/10/2012,7/6/2012
71,100,,7/11/2012,7/5/2012
72,101,,7/14/2012,7/7/2012
73,102,,7/10/2012,7/6/2012
74,104,,7/12/2012,7/5/2012
75,106,,7/11/2012,7/6/2012
76,107,,7/13/2012,7/7/2012
77,108,,7/9/2012,7/6/2012
78,110,,7/12/2012,7/9/2012
79,116,,7/14/2012,7/7/2012
80,117,,7/8/2012,7/4/2012
81,118,,7/11/2012,7/5/2012
82,120,,7/7/2012,7/5/2012
83,121,,7/8/2012,7/6/2012
84,122,,7/9/2012,7/7/2012
85,124,,7/11/2012,7/7/2012
86,125,,7/7/2012,7/5/2012
87,126,,7/13/2012,7/6/2012
88,128,,7/9/2012,7/7/2012
89,132,,7/9/2012,7/6/2012
90,133,,7/8/2012,7/6/2012
91,135,,7/8/2012,7/6/2012
92,136,,7/8/2012,7/4/2012
93,140,,7/15/2012,7/8/2012
94,144,,7/9/2012,7/6/2012
95,145,,7/13/2012,7/9/2012
96,146,,7/13/2012,7/6/2012
97,147,,7/9/2012,7/7/2012
98,149,,7/15/2012,7/8/2012
99,152,,7/9/2012,7/4/2012
100,153,,7/10/2012,7/5/2012
101,154,,7/14/2012,7/8/2012
102,156,,7/13/2012,7/6/2012
103,157,,7/13/2012,7/7/2012
104,158,,7/8/2012,7/6/2012
105,159,,7/9/2012,7/5/2012
106,160,,7/8/2012,7/6/2012
107,163,,7/11/2012,7/4/2012
108,164,,7/11/2012,7/7/2012
109,165,,7/6/2012,7/4/2012
110,168,,7/6/2012,7/4/2012
111,169,,7/7/2012,7/5/2012
112,170,,7/11/2012,7/6/2012
113,172,,7/15/2012,7/8/2012
114,173,,7/11/2012,7/5/2012
115,175,,7/11/2012,7/4/2012
116,176,,7/11/2012,7/7/2012
117,177,,7/9/2012,7/7/2012
118,178,,7/11/2012,7/6/2012
119,179,,7/14/2012,7/7/2012
120,180,,7/8/2012,7/6/2012
121,182,,7/9/2012,7/6/2012
122,183,,7/12/2012,7/6/2012
123,185,,7/12/2012,7/7/2012
124,186,,7/9/2012,7/4/2012
125,187,,7/13/2012,7/7/2012
126,188,,7/14/2012,7/8/2012
127,189,,7/9/2012,7/7/2012
128,190,,7/13/2012,7/6/2012
129,191,,7/11/2012,7/8/2012
130,192,,7/9/2012,7/6/2012
131,193,,7/8/2012,7/4/2012
132,194,,7/14/2012,7/7/2012
133,196,,7/10/2012,7/7/2012
134,197,,7/13/2012,7/7/2012
135,198,,7/10/2012,7/8/2012
136,199,,7/12/2012,7/5/2012
137,204,,7/12/2012,7/7/2012
138,205,,7/8/2012,7/4/2012
139,206,,7/7/2012,7/4/2012
140,208,,7/10/2012,7/6/2012
141,210,,7/13/2012,7/8/2012
142,211,,7/15/2012,7/9/2012
143,212,,7/12/2012,7/9/2012
144,214,,7/8/2012,7/5/2012
145,217,,7/11/2012,7/9/2012
146,218,,7/10/2012,7/6/2012
147,219,,7/8/2012,7/6/2012
148,220,,7/10/2012,7/8/2012
149,223,,7/11/2012,7/5/2012
150,224,,7/15/2012,7/9/2012
151,226,,7/9/2012,7/4/2012
152,227,,7/12/2012,7/7/2012
153,228,,7/15/2012,7/8/2012
154,229,,7/9/2012,7/7/2012
155,231,,7/6/2012,7/4/2012
156,233,,7/12/2012,7/9/2012
157,234,,7/12/2012,7/7/2012
158,236,,7/12/2012,7/6/2012
159,237,,7/17/2012,7/10/2012
160,238,,7/10/2012,7/4/2012
161,239,,7/7/2012,7/4/2012
162,241,,7/8/2012,7/4/2012
163,242,,7/9/2012,7/7/2012
164,244,,7/9/2012,7/7/2012
165,245,,7/8/2012,7/6/2012
166,246,,7/10/2012,7/7/2012
167,250,,7/8/2012,7/6/2012
168,251,,7/11/2012,7/8/2012
169,254,,7/13/2012,7/6/2012
170,257,,7/11/2012,7/5/2012
171,259,,7/11/2012,7/6/2012
172,260,,7/11/2012,7/7/2012
173,261,,7/13/2012,7/8/2012
174,263,,7/8/2012,7/4/2012
175,264,,7/16/2012,7/9/2012
176,265,,7/11/2012,7/4/2012
177,266,,7/13/2012,7/7/2012
178,268,,7/9/2012,7/7/2012
179,269,,7/7/2012,7/5/2012
180,271,,7/12/2012,7/6/2012
181,274,,7/14/2012,7/7/2012
182,275,,7/15/2012,7/8/2012
183,278,,7/13/2012,7/10/2012
184,280,,7/12/2012,7/6/2012
185,281,,7/13/2012,7/7/2012
186,282,,7/13/2012,7/6/2012
187,284,,7/9/2012,7/6/2012
188,285,,7/9/2012,7/6/2012
189,286,,7/10/2012,7/8/2012
190,287,,7/14/2012,7/8/2012
191,290,,7/8/2012,7/6/2012
192,291,,7/10/2012,7/5/2012
193,292,,7/12/2012,7/7/2012
194,295,,7/14/2012,7/7/2012
195,296,,7/10/2012,7/7/2012
196,297,,7/15/2012,7/8/2012
197,298,,7/11/2012,7/4/2012
198,299,,7/7/2012,7/4/2012
199,300,,7/14/2012,7/7/2012
200,301,,7/12/2012,7/6/2012
201,302,,7/12/2012,7/6/2012
202,303,,7/9/2012,7/5/2012
203,305,,7/13/2012,7/8/2012
204,306,,7/10/2012,7/7/2012
205,307,,7/13/2012,7/9/2012
206,308,,7/7/2012,7/5/2012
207,309,,7/15/2012,7/10/2012
208,311,,7/10/2012,7/8/2012
209,315,,7/11/2012,7/5/2012
210,316,,7/12/2012,7/6/2012
211,317,,7/11/2012,7/6/2012
212,318,,7/12/2012,7/6/2012
213,322,,7/11/2012,7/7/2012
214,323,,7/14/2012,7/8/2012
215,324,,7/6/2012,7/4/2012
216,326,,7/13/2012,7/7/2012
217,328,,7/11/2012,7/5/2012
218,330,,7/8/2012,7/5/2012
