snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,sell_through_rate,fill_rate,days_of_supply
2022-10-31,1902,3,1,1,2,0.25,0.9333,90.0
2022-11-30,1902,3,1,1,1,0.25,0.9667,90.0
2022-12-31,1902,3,1,1,1,0.25,0.9667,90.0
2016-04-30,594,35,13,11,2,0.2391,0.9333,95.5
2016-05-31,594,36,11,10,1,0.2174,0.9667,108.0
2016-06-30,594,37,8,7,2,0.1591,0.9333,158.6
2016-07-31,594,39,11,9,2,0.1875,0.9333,130.0
2016-08-31,594,39,4,4,0,0.093,1.0,292.5
2016-09-30,594,40,7,6,0,0.1304,1.0,200.0
2016-10-31,594,41,7,6,1,0.1277,0.9667,205.0
2016-11-30,594,44,15,12,0,0.2143,1.0,110.0
2016-12-31,594,45,12,11,2,0.1964,0.9333,122.7
2017-01-31,594,46,13,12,0,0.2069,1.0,115.0
2017-02-28,594,50,18,14,2,0.2188,0.9333,107.1
2017-03-31,594,52,12,10,1,0.1613,0.9667,156.0
2017-04-30,594,53,9,8,2,0.1311,0.9333,198.8
2017-05-31,594,54,10,9,0,0.1429,1.0,180.0
2017-06-30,594,56,15,13,2,0.1884,0.9333,129.2
2017-07-31,594,57,8,7,1,0.1094,0.9667,244.3
2017-08-31,594,59,11,9,0,0.1324,1.0,196.7
2017-09-30,594,59,3,3,2,0.0484,0.9333,590.0
2017-10-31,594,60,11,10,1,0.1429,0.9667,180.0
2017-11-30,594,61,7,6,2,0.0896,0.9333,305.0
2017-12-31,594,63,17,15,2,0.1923,0.9333,126.0
2018-01-31,594,64,7,6,0,0.0857,1.0,320.0
2018-02-28,594,65,8,7,2,0.0972,0.9333,278.6
2018-03-31,594,67,11,9,0,0.1184,1.0,223.3
2018-04-30,594,69,13,11,0,0.1375,1.0,188.2
2018-05-31,594,72,20,17,2,0.191,0.9333,127.1
2018-06-30,594,75,19,16,1,0.1758,0.9667,140.6
2018-07-31,594,78,19,16,2,0.1702,0.9333,146.2
2018-08-31,594,81,21,18,1,0.1818,0.9667,135.0
2018-09-30,594,82,15,14,0,0.1458,1.0,175.7
2018-10-31,594,82,8,8,1,0.0889,0.9667,307.5
2018-11-30,594,83,8,7,2,0.0778,0.9333,355.7
2018-12-31,594,84,5,4,2,0.0455,0.9333,630.0
2019-01-31,594,85,6,5,2,0.0556,0.9333,510.0
2019-02-28,594,86,7,6,0,0.0652,1.0,430.0
2019-03-31,594,88,11,9,2,0.0928,0.9333,293.3
2019-04-30,594,91,17,14,2,0.1333,0.9333,195.0
2019-05-31,594,93,11,9,0,0.0882,1.0,310.0
