customer_id,gender,age_group,zip,acquisition_channel,signup_date
1,Female,35-44,15201,social_media,2021-12-30
2,Female,45-54,15201,email_campaign,2013-12-27
3,Female,18-24,15201,organic_search,2018-07-24
4,Male,35-44,15201,referral,2017-11-29
5,Male,55+,15201,organic_search,2022-09-23
6,Female,25-34,15202,organic_search,2022-04-14
8,Male,45-54,15202,social_media,2015-09-11
9,Male,35-44,15202,email_campaign,2020-02-14
10,Male,25-34,15202,organic_search,2014-03-03
11,Male,35-44,15203,organic_search,2017-11-07
12,Female,45-54,15203,organic_search,2020-11-20
13,Female,25-34,15203,direct,2014-01-17
14,Female,45-54,15203,social_media,2017-07-31
15,Male,35-44,15203,direct,2022-01-29
16,Female,45-54,15204,referral,2021-03-25
17,Male,25-34,15204,social_media,2017-11-15
18,Male,45-54,15204,referral,2021-08-06
20,Male,45-54,15204,paid_search,2013-01-07
22,Male,35-44,15205,organic_search,2022-06-12
23,Female,45-54,15205,organic_search,2019-04-18
24,Male,18-24,15205,social_media,2016-12-08
26,Male,35-44,15206,paid_search,2019-04-04
27,Non-binary,18-24,15206,social_media,2015-10-25
28,Male,25-34,15206,email_campaign,2015-11-24
30,Male,45-54,15206,social_media,2021-09-18
32,Female,25-34,15207,paid_search,2022-09-05
33,Male,25-34,15207,organic_search,2021-02-26
35,Male,35-44,15207,referral,2019-09-11
36,Female,35-44,15208,paid_search,2021-04-16
38,Female,35-44,15208,email_campaign,2021-10-31
40,Female,25-34,15208,social_media,2021-07-01
41,Male,35-44,15209,organic_search,2022-06-29
42,Male,45-54,15209,paid_search,2014-09-08
43,Female,45-54,15209,direct,2017-12-21
44,Male,25-34,15209,organic_search,2018-09-24
45,Non-binary,55+,15209,social_media,2015-07-17
46,Female,35-44,15210,social_media,2018-01-14
47,Male,45-54,15210,organic_search,2015-12-25
48,Female,45-54,15210,email_campaign,2018-08-06
49,Male,25-34,15210,organic_search,2021-12-19
50,Male,18-24,15210,direct,2019-07-22
51,Female,25-34,15211,paid_search,2019-08-11
52,Male,35-44,15211,social_media,2017-09-23
53,Female,35-44,15211,direct,2018-06-19
55,Male,45-54,15211,paid_search,2022-01-23
56,Female,45-54,15212,email_campaign,2021-10-03
57,Female,25-34,15212,organic_search,2017-03-06
58,Male,25-34,15212,social_media,2022-09-03
59,Male,55+,15212,social_media,2017-01-22
60,Female,18-24,15212,referral,2019-09-14
62,Female,25-34,15213,social_media,2021-12-31
63,Male,25-34,15213,paid_search,2021-05-01
64,Male,18-24,15213,organic_search,2022-05-06
67,Male,18-24,15214,social_media,2017-12-27
68,Male,35-44,15214,social_media,2014-04-01
69,Male,18-24,15214,email_campaign,2019-01-10
70,Male,18-24,15214,direct,2018-06-22
71,Male,35-44,15215,direct,2017-09-30
74,Male,35-44,15215,direct,2019-01-06
75,Female,35-44,15215,paid_search,2022-02-13
76,Female,35-44,15216,paid_search,2019-11-13
78,Male,25-34,15216,paid_search,2020-06-20
79,Female,45-54,15216,email_campaign,2018-06-09
80,Male,25-34,15216,paid_search,2018-03-19
81,Male,25-34,15217,email_campaign,2021-05-14
82,Male,35-44,15217,organic_search,2018-05-31
83,Male,25-34,15217,direct,2021-07-23
85,Male,35-44,15217,paid_search,2019-11-26
86,Female,18-24,15218,paid_search,2017-11-10
88,Female,25-34,15218,paid_search,2020-12-03
89,Male,45-54,15218,referral,2015-10-11
90,Female,45-54,15218,paid_search,2014-09-21
91,Female,25-34,15219,organic_search,2016-02-23
92,Female,18-24,15219,referral,2021-11-26
94,Female,35-44,15219,social_media,2020-02-15
95,Male,35-44,15219,organic_search,2015-02-28
96,Female,35-44,15220,social_media,2019-09-22
98,Male,18-24,15220,organic_search,2021-02-03
101,Female,25-34,15221,organic_search,2013-05-08
102,Male,35-44,15221,email_campaign,2022-08-12
103,Male,18-24,15221,organic_search,2022-04-27
104,Non-binary,25-34,15221,email_campaign,2021-02-28
105,Female,25-34,15221,organic_search,2018-06-18
106,Male,35-44,15222,email_campaign,2022-01-03
107,Female,35-44,15222,organic_search,2016-03-08
108,Non-binary,45-54,15222,organic_search,2020-03-30
109,Non-binary,35-44,15222,social_media,2020-06-03
112,Male,25-34,15223,paid_search,2018-06-03
113,Male,35-44,15223,direct,2020-11-05
114,Male,18-24,15223,organic_search,2017-04-16
117,Female,25-34,15224,email_campaign,2018-11-01
118,Male,45-54,15224,email_campaign,2021-12-29
119,Female,35-44,15224,organic_search,2021-10-03
120,Female,55+,15224,direct,2016-11-22
121,Male,25-34,15225,organic_search,2022-11-30
122,Female,45-54,15225,organic_search,2021-03-07
124,Female,35-44,15225,social_media,2021-02-07
125,Male,35-44,15225,social_media,2012-04-24
126,Female,35-44,15226,email_campaign,2019-02-14
127,Male,35-44,15226,organic_search,2013-10-03
131,Female,25-34,15227,paid_search,2018-12-08
132,Female,35-44,15227,organic_search,2015-01-07
135,Male,25-34,15227,paid_search,2015-09-01
136,Female,55+,15228,paid_search,2020-09-18
137,Male,45-54,15228,referral,2015-04-19
138,Female,25-34,15228,paid_search,2022-11-25
139,Female,18-24,15228,social_media,2022-12-09
140,Male,45-54,15228,organic_search,2016-06-26
141,Female,35-44,15229,social_media,2020-08-14
142,Male,35-44,15229,social_media,2021-04-09
143,Female,35-44,15229,social_media,2018-06-10
145,Female,18-24,15229,organic_search,2020-02-19
146,Male,45-54,15232,email_campaign,2017-10-04
147,Female,35-44,15232,paid_search,2021-03-07
148,Male,25-34,15232,paid_search,2022-09-05
149,Male,25-34,15232,social_media,2017-08-12
150,Female,55+,15232,direct,2018-12-25
152,Female,18-24,15233,paid_search,2022-01-29
153,Female,25-34,15233,social_media,2020-04-11
154,Female,25-34,15233,paid_search,2020-12-29
155,Male,18-24,15233,organic_search,2016-05-10
156,Female,25-34,15234,social_media,2017-12-06
157,Male,55+,15234,organic_search,2019-04-10
158,Male,45-54,15234,referral,2021-08-03
159,Male,45-54,15234,paid_search,2018-01-01
160,Female,18-24,15234,organic_search,2017-11-14
161,Female,35-44,15235,paid_search,2015-05-04
162,Female,45-54,15235,organic_search,2021-12-06
163,Female,18-24,15235,email_campaign,2017-12-26
166,Male,55+,15236,organic_search,2015-05-03
167,Male,45-54,15236,paid_search,2018-02-07
168,Female,18-24,15236,paid_search,2022-03-23
169,Male,18-24,15236,referral,2017-10-16
170,Male,35-44,15236,paid_search,2016-07-21
172,Female,55+,15237,social_media,2021-06-12
173,Female,18-24,15237,paid_search,2020-08-06
176,Female,35-44,15238,direct,2017-06-17
177,Female,25-34,15238,organic_search,2015-11-25
178,Male,25-34,15238,organic_search,2020-03-17
179,Female,35-44,15238,social_media,2020-02-20
180,Male,45-54,15238,email_campaign,2020-07-18
181,Male,45-54,15239,social_media,2022-09-03
182,Male,35-44,15239,paid_search,2022-04-04
184,Female,35-44,15239,paid_search,2015-12-06
185,Female,35-44,15239,organic_search,2019-12-08
186,Female,45-54,15240,paid_search,2019-04-15
188,Male,25-34,15240,paid_search,2018-03-28
189,Female,35-44,15240,organic_search,2017-06-16
190,Female,45-54,15240,referral,2020-05-17
191,Male,35-44,15241,direct,2020-02-14
192,Female,18-24,15241,organic_search,2018-08-08
193,Male,55+,15241,social_media,2018-04-03
195,Female,25-34,15241,email_campaign,2020-04-28
197,Male,45-54,15243,social_media,2021-04-10
198,Female,45-54,15243,paid_search,2014-10-27
204,Male,35-44,15275,social_media,2017-02-07
205,Male,45-54,15275,email_campaign,2020-09-17
206,Female,55+,15276,paid_search,2017-10-14
207,Non-binary,35-44,15276,social_media,2019-12-02
208,Male,45-54,15276,paid_search,2015-01-14
209,Male,18-24,15276,social_media,2019-09-13
211,Male,45-54,15277,organic_search,2018-06-11
