zip,city,district,region
15201,Hai Phong,District #13,East
15202,Phu Ly,District #13,East
15203,Viet Tri,District #13,East
15204,Bac Giang,District #13,East
15205,Bac Giang,District #13,East
15206,Lao Cai,District #13,East
15207,Hai Phong,District #13,East
15208,Viet Tri,District #13,East
15209,Ha Long,District #13,East
15210,Hai Phong,District #13,East
15211,Cam Pha,District #13,East
15212,Son Tay,District #13,East
15213,Phu Ly,District #13,East
15214,Phu Ly,District #13,East
15215,Phu Ly,District #13,East
15216,Ninh Binh,District #13,East
15217,Cam Pha,District #13,East
15218,Hai Phong,District #13,East
15219,Ninh Binh,District #13,East
15220,Bac Giang,District #13,East
15221,Cam Pha,District #13,East
15222,Bac Ninh,District #13,East
15223,Ha Long,District #13,East
15224,Lao Cai,District #13,East
15225,Phu Ly,District #13,East
15226,Viet Tri,District #13,East
15227,Bac Ninh,District #13,East
15228,Ninh Binh,District #13,East
15229,Cam Pha,District #13,East
15230,Bac Giang,District #13,East
15231,Bac Giang,District #13,East
15232,Nam Dinh,District #13,East
15233,Hai Phong,District #13,East
15234,Cam Pha,District #13,East
15235,Lao Cai,District #13,East
15236,Hanoi,District #13,East
15237,Lao Cai,District #13,East
15238,Ninh Binh,District #13,East
15239,Nam Dinh,District #13,East
15240,Uong Bi,District #13,East
15241,Ha Long,District #13,East
15242,Phu Ly,District #13,East
15243,Viet Tri,District #13,East
15244,Thai Nguyen,District #13,East
15250,Hanoi,District #13,East
15251,Son Tay,District #13,East
15252,Bac Giang,District #13,East
15253,Lao Cai,District #13,East
15254,Viet Tri,District #13,East
15255,Phu Ly,District #13,East
15257,Phu Ly,District #13,East
15258,Ha Long,District #13,East
15259,Bac Ninh,District #13,East
15260,Bac Giang,District #13,East
15261,Bac Giang,District #13,East
15262,Hanoi,District #13,East
15264,Cam Pha,District #13,East
15265,Ha Long,District #13,East
15267,Phu Ly,District #13,East
15268,Viet Tri,District #13,East
15270,Lao Cai,District #13,East
15272,Phu Ly,District #13,East
15274,Bac Ninh,District #13,East
15275,Son Tay,District #13,East
15276,Bac Ninh,District #13,East
15277,Thai Nguyen,District #13,East
15278,Lao Cai,District #13,East
15279,Bac Ninh,District #13,East
15281,Hai Phong,District #13,East
15282,Bac Giang,District #13,East
15283,Ninh Binh,District #13,East
15286,Ha Long,District #13,East
15289,Bac Giang,District #13,East
15290,Hai Phong,District #13,East
15295,Viet Tri,District #13,East
15937,Bac Giang,District #13,East
15938,Thai Nguyen,District #13,East
15940,Nam Dinh,District #13,East
