issued_promo_id,promo_id
PROMO-0039-0001,39
PROMO-0029-0002,29
PROMO-0015-0003,15
PROMO-0043-0004,43
PROMO-0008-0005,8
PROMO-0021-0006,21
PROMO-0039-0007,39
PROMO-0019-0008,19
PROMO-0023-0009,23
PROMO-0011-0010,11
PROMO-0011-0011,11
PROMO-0024-0012,24
PROMO-0036-0013,36
PROMO-0040-0014,40
PROMO-0024-0015,24
PROMO-0003-0016,3
PROMO-0022-0017,22
PROMO-0002-0018,2
PROMO-0024-0019,24
PROMO-0044-0020,44
PROMO-0030-0021,30
PROMO-0038-0022,38
PROMO-0002-0023,2
PROMO-0021-0024,21
PROMO-0033-0025,33
PROMO-0012-0026,12
PROMO-0022-0027,22
PROMO-0044-0028,44
PROMO-0025-0029,25
PROMO-0049-0030,49
PROMO-0027-0031,27
PROMO-0042-0032,42
PROMO-0028-0033,28
PROMO-0016-0034,16
PROMO-0015-0035,15
PROMO-0047-0036,47
PROMO-0044-0037,44
PROMO-0003-0038,3
PROMO-0037-0039,37
PROMO-0007-0040,7
PROMO-0021-0041,21
PROMO-0009-0042,9
PROMO-0039-0043,39
PROMO-0018-0044,18
PROMO-0004-0045,4
PROMO-0025-0046,25
PROMO-0014-0047,14
PROMO-0050-0048,50
PROMO-0009-0049,9
PROMO-0026-0050,26
PROMO-0002-0051,2
PROMO-0020-0052,20
PROMO-0028-0053,28
PROMO-0047-0054,47
PROMO-0007-0055,7
PROMO-0044-0056,44
PROMO-0008-0057,8
PROMO-0047-0058,47
PROMO-0035-0059,35
PROMO-0014-0060,14
PROMO-0017-0061,17
PROMO-0036-0062,36
PROMO-0050-0063,50
PROMO-0040-0064,40
PROMO-0004-0065,4
PROMO-0002-0066,2
PROMO-0006-0067,6
PROMO-0042-0068,42
PROMO-0004-0069,4
PROMO-0029-0070,29
PROMO-0018-0071,18
PROMO-0026-0072,26
PROMO-0044-0073,44
PROMO-0034-0074,34
PROMO-0010-0075,10
PROMO-0036-0076,36
PROMO-0014-0077,14
PROMO-0031-0078,31
PROMO-0048-0079,48
PROMO-0015-0080,15
PROMO-0008-0081,8
PROMO-0014-0082,14
PROMO-0023-0083,23
PROMO-0040-0084,40
PROMO-0021-0085,21
PROMO-0016-0086,16
PROMO-0045-0087,45
PROMO-0018-0088,18
PROMO-0047-0089,47
PROMO-0024-0090,24
PROMO-0026-0091,26
PROMO-0025-0092,25
PROMO-0045-0093,45
PROMO-0041-0094,41
PROMO-0029-0095,29
PROMO-0015-0096,15
PROMO-0045-0097,45
PROMO-0001-0098,1
PROMO-0025-0099,25
PROMO-0007-0100,7
PROMO-0009-0101,9
PROMO-0024-0102,24
PROMO-0001-0103,1
PROMO-0044-0104,44
PROMO-0008-0105,8
PROMO-0024-0106,24
PROMO-0011-0107,11
PROMO-0017-0108,17
PROMO-0008-0109,8
PROMO-0035-0110,35
PROMO-0035-0111,35
PROMO-0033-0112,33
PROMO-0005-0113,5
PROMO-0042-0114,42
PROMO-0039-0115,39
PROMO-0041-0116,41
PROMO-0028-0117,28
PROMO-0007-0118,7
PROMO-0009-0119,9
PROMO-0008-0120,8
PROMO-0012-0121,12
PROMO-0034-0122,34
PROMO-0033-0123,33
PROMO-0048-0124,48
PROMO-0023-0125,23
PROMO-0024-0126,24
PROMO-0037-0127,37
PROMO-0035-0128,35
PROMO-0044-0129,44
PROMO-0040-0130,40
PROMO-0022-0131,22
PROMO-0027-0132,27
PROMO-0035-0133,35
PROMO-0001-0134,1
PROMO-0035-0135,35
PROMO-0037-0136,37
PROMO-0047-0137,47
PROMO-0014-0138,14
PROMO-0003-0139,3
PROMO-0001-0140,1
PROMO-0005-0141,5
PROMO-0026-0142,26
PROMO-0014-0143,14
PROMO-0039-0144,39
