product_id,product_name,category,segment,size,color,price,cogs
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.84
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.08,5393.87
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.63,11371.92
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.72,8573.17
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.33,14063.57
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.85,15291.06
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.82,6152.07
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39,22.49
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.11,8528.92
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.68,9091.34
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.12,13338.09
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.42,4298.38
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.41,4883.89
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.75,5205.46
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.62,3404.74
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.41,10683.14
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.41
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.62,9748.82
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.45,6426.89
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.48,9994.46
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64,9686.41
557,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.44,7554.71
558,SaigonFlex UC-23,Streetwear,Everyday,L,pink,18269.37,14094.82
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.99,6569.11
560,SaigonFlex UC-25,Streetwear,Everyday,S,red,8428.27,7354.51
561,SaigonFlex UC-26,Streetwear,Everyday,M,black,8951.67,7753.94
562,SaigonFlex UC-27,Streetwear,Everyday,L,orange,11109.75,10554.26
563,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.09,8972.84
564,SaigonFlex UC-29,Streetwear,Everyday,S,white,11503.8,7876.65
565,SaigonFlex UC-30,Streetwear,Everyday,M,purple,10752.79,9051.7
566,SaigonFlex UC-31,Streetwear,Everyday,L,green,11783.94,9612.16
567,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.78,8711.85
568,SaigonFlex UC-33,Streetwear,Everyday,S,pink,10532.7,7628.83
569,SaigonFlex UC-34,Streetwear,Everyday,M,yellow,12601.62,11971.54
570,SaigonFlex UC-35,Streetwear,Everyday,L,red,6934.76,6364.03
571,SaigonFlex UC-36,Streetwear,Everyday,XL,black,6325.2,6008.94
572,SaigonFlex UC-37,Streetwear,Everyday,S,orange,5428.18,5156.77
573,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.69,2813.76
574,SaigonFlex UC-39,Streetwear,Everyday,L,white,10912.66,10134.59
575,SaigonFlex UC-40,Streetwear,Everyday,XL,purple,11157.96,10600.06
576,SaigonFlex UC-41,Streetwear,Everyday,S,green,18775.84,12572.3
577,SaigonFlex UC-42,Streetwear,Everyday,M,silver,12288.26,9234.63
578,SaigonFlex UC-43,Streetwear,Everyday,L,pink,9414.21,6648.32
579,SaigonFlex UC-44,Streetwear,Everyday,XL,yellow,15941.11,14039.33
580,SaigonFlex UC-45,Streetwear,Everyday,S,red,9901.55,9406.47
581,SaigonFlex UC-46,Streetwear,Everyday,M,black,16696.35,14125.11
582,SaigonFlex UC-47,Streetwear,Everyday,L,orange,4283.7,3193.5
583,SaigonFlex UC-48,Streetwear,Everyday,XL,blue,6610.57,4418.51
584,SaigonFlex UC-49,Streetwear,Everyday,S,white,7436.31,4666.29
585,SaigonFlex UC-50,Streetwear,Everyday,M,purple,5044.25,4792.04
586,SaigonFlex UC-51,Streetwear,Everyday,L,green,4552.69,4325.05
587,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,31.33,19.58
588,SaigonFlex UC-53,Streetwear,Everyday,S,pink,7437.17,6317.87
589,SaigonFlex UC-54,Streetwear,Everyday,M,yellow,10207.29,7250.24
590,SaigonFlex UC-55,Streetwear,Everyday,L,red,10658.33,10125.42
591,SaigonFlex UC-56,Streetwear,Everyday,XL,black,11048.62,10496.19
592,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.64,7346.95
593,SaigonFlex UC-58,Streetwear,Everyday,M,blue,10942.19,8946.34
594,SaigonFlex UC-59,Streetwear,Everyday,L,white,42.91,24.5
595,SaigonFlex UC-60,Streetwear,Everyday,XL,purple,8975.73,5284.91
596,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.15,5842.06
597,SaigonFlex UC-62,Streetwear,Everyday,M,silver,60.9,38.96
598,SaigonFlex UC-63,Streetwear,Everyday,L,pink,11489.45,7924.28
599,SaigonFlex UC-64,Streetwear,Everyday,XL,yellow,10648.86,10116.41
600,SaigonFlex UC-65,Streetwear,Everyday,S,red,9148.35,4647.36
601,SaigonFlex UC-66,Streetwear,Everyday,M,black,15754.5,14966.77
602,SaigonFlex UC-67,Streetwear,Everyday,L,orange,15756.27,11752.6
603,SaigonFlex UC-68,Streetwear,Everyday,XL,blue,11026.34,8163.9
604,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.3,4141.94
605,SaigonFlex UC-70,Streetwear,Everyday,M,purple,4940.96,3748.21
606,SaigonFlex UC-71,Streetwear,Everyday,L,green,4042.85,3552.46
607,SaigonFlex UC-72,Streetwear,Everyday,XL,silver,11408.04,7676.47
608,SaigonFlex UC-73,Streetwear,Everyday,S,pink,11699.1,11114.14
609,SaigonFlex UC-74,Streetwear,Everyday,M,yellow,10426.57,8987.7
610,SaigonFlex UC-75,Streetwear,Everyday,L,red,11122.51,9587.6
611,SaigonFlex UC-76,Streetwear,Everyday,XL,black,17959.96,12395.96
612,SaigonFlex UC-77,Streetwear,Everyday,S,orange,11727.45,7625.19
613,SaigonFlex UC-78,Streetwear,Everyday,M,blue,30.15,17.2
614,SaigonFlex UC-79,Streetwear,Everyday,L,white,8263.49,6609.14
615,SaigonFlex UC-80,Streetwear,Everyday,XL,purple,8328.97,4873.28
616,SaigonFlex UC-81,Streetwear,Everyday,S,green,8545.56,7898.66
617,SaigonFlex UC-82,Streetwear,Everyday,M,silver,10151.26,6680.55
618,SaigonFlex UC-83,Streetwear,Everyday,L,pink,14262.41,13549.29
619,SaigonFlex UC-84,Streetwear,Everyday,XL,yellow,11336.85,6509.62
620,SaigonFlex UC-85,Streetwear,Everyday,S,red,30.15,17.16
621,SaigonFlex UC-86,Streetwear,Everyday,M,black,62.28,34.48
622,SaigonFlex UC-87,Streetwear,Everyday,L,orange,9946.84,7374.59
623,SaigonFlex UC-88,Streetwear,Everyday,XL,blue,17011.96,9844.82
624,SaigonFlex UC-89,Streetwear,Everyday,S,white,45.01,26.88
625,SaigonFlex UC-90,Streetwear,Everyday,M,purple,16075.5,8733.82
626,SaigonFlex UC-91,Streetwear,Everyday,L,green,17013.9,16163.2
627,SaigonFlex UC-92,Streetwear,Everyday,XL,silver,11006.55,7708.99
628,SaigonFlex UC-93,Streetwear,Everyday,S,pink,11516.4,9278.76
629,SaigonFlex UC-94,Streetwear,Everyday,M,yellow,9968.7,9470.26
630,SaigonFlex UC-95,Streetwear,Everyday,L,red,6176.85,3866.09
631,SaigonFlex UC-96,Streetwear,Everyday,XL,black,4677.02,4443.17
632,SaigonFlex UC-97,Streetwear,Everyday,S,orange,4844.7,2618.08
633,SaigonFlex UC-98,Streetwear,Everyday,M,blue,6803.8,3769.31
634,SaigonFlex UC-99,Streetwear,Everyday,L,white,10788.27,6005.83
635,SaigonFlex UC-00,Streetwear,Everyday,XL,purple,10745.22,9205.43
636,SaigonFlex UC-01,Streetwear,Everyday,S,green,10892.0,9183.04
637,SaigonFlex UC-02,Streetwear,Everyday,M,silver,10938.36,8362.37
638,SaigonFlex UC-03,Streetwear,Everyday,L,pink,12105.45,11500.18
