promo_id,promo_name,promo_type,discount_value,min_order_value,applicable_category,promo_channel,stackable_flag,start_date,end_date
1,Spring Sale 2013,percentage,12.0,0.0,,email,True,2013-03-18,2013-04-17
2,Mid-Year Sale 2013,percentage,18.0,0.0,,online,False,2013-06-23,2013-07-22
3,Fall Launch 2013,percentage,10.0,0.0,,email,False,2013-08-30,2013-10-02
4,Year-End Sale 2013,percentage,20.0,50000.0,,all_channels,False,2013-11-18,2014-01-02
5,Urban Blowout 2013,fixed,50.0,150000.0,Streetwear,online,False,2013-07-30,2013-09-02
6,Rural Special 2013,percentage,15.0,0.0,Outdoor,in_store,False,2013-01-31,2013-03-01
7,Spring Sale 2014,percentage,12.0,0.0,,email,True,2014-03-18,2014-04-17
8,Mid-Year Sale 2014,percentage,18.0,0.0,,social_media,False,2014-06-23,2014-07-22
9,Fall Launch 2014,percentage,10.0,100000.0,,all_channels,False,2014-08-30,2014-10-01
10,Year-End Sale 2014,percentage,20.0,100000.0,,all_channels,False,2014-11-19,2015-01-02
11,Spring Sale 2015,percentage,12.0,100000.0,,all_channels,True,2015-03-18,2015-04-17
12,Mid-Year Sale 2015,percentage,18.0,0.0,,social_media,False,2015-06-23,2015-07-22
13,Fall Launch 2015,percentage,10.0,0.0,,email,True,2015-08-30,2015-10-01
14,Year-End Sale 2015,percentage,20.0,150000.0,,all_channels,True,2015-11-18,2016-01-02
15,Urban Blowout 2015,fixed,50.0,200000.0,Streetwear,online,False,2015-07-30,2015-09-02
16,Rural Special 2015,percentage,15.0,0.0,Outdoor,in_store,False,2015-01-30,2015-03-01
17,Spring Sale 2016,percentage,12.0,0.0,,all_channels,False,2016-03-18,2016-04-17
18,Mid-Year Sale 2016,percentage,18.0,0.0,,online,False,2016-06-23,2016-07-22
19,Fall Launch 2016,percentage,10.0,0.0,,online,False,2016-08-30,2016-10-01
20,Year-End Sale 2016,percentage,20.0,0.0,,all_channels,False,2016-11-18,2017-01-02
21,Spring Sale 2017,percentage,12.0,0.0,,all_channels,False,2017-03-18,2017-04-17
22,Mid-Year Sale 2017,percentage,18.0,150000.0,,online,False,2017-06-23,2017-07-22
23,Fall Launch 2017,percentage,10.0,0.0,,all_channels,True,2017-08-30,2017-10-02
24,Year-End Sale 2017,percentage,20.0,0.0,,all_channels,False,2017-11-18,2018-01-02
25,Urban Blowout 2017,fixed,50.0,150000.0,Streetwear,online,False,2017-07-30,2017-09-02
26,Rural Special 2017,percentage,15.0,0.0,Outdoor,in_store,False,2017-01-30,2017-03-01
27,Spring Sale 2018,percentage,12.0,100000.0,,all_channels,False,2018-03-18,2018-04-17
28,Mid-Year Sale 2018,percentage,18.0,150000.0,,social_media,False,2018-06-23,2018-07-22
29,Fall Launch 2018,percentage,10.0,0.0,,email,False,2018-08-30,2018-10-01
30,Year-End Sale 2018,percentage,20.0,0.0,,all_channels,False,2018-11-18,2019-01-02
31,Spring Sale 2019,percentage,12.0,150000.0,,online,True,2019-03-18,2019-04-17
32,Mid-Year Sale 2019,percentage,18.0,0.0,,social_media,False,2019-06-23,2019-07-22
33,Fall Launch 2019,percentage,10.0,50000.0,,email,False,2019-08-30,2019-10-01
34,Year-End Sale 2019,percentage,20.0,50000.0,,all_channels,False,2019-11-18,2020-01-02
35,Urban Blowout 2019,fixed,50.0,100000.0,Streetwear,online,False,2019-07-30,2019-09-02
36,Rural Special 2019,percentage,15.0,150000.0,Outdoor,in_store,True,2019-01-30,2019-03-01
37,Spring Sale 2020,percentage,12.0,0.0,,online,False,2020-03-18,2020-04-17
38,Mid-Year Sale 2020,percentage,18.0,0.0,,social_media,False,2020-06-23,2020-07-22
39,Fall Launch 2020,percentage,10.0,150000.0,,all_channels,False,2020-08-30,2020-10-01
40,Year-End Sale 2020,percentage,20.0,0.0,,all_channels,False,2020-11-18,2021-01-01
41,Spring Sale 2021,percentage,12.0,0.0,,online,True,2021-03-18,2021-04-17
42,Mid-Year Sale 2021,percentage,18.0,0.0,,social_media,True,2021-06-23,2021-07-22
43,Fall Launch 2021,percentage,10.0,0.0,,email,False,2021-08-30,2021-10-02
44,Year-End Sale 2021,percentage,20.0,0.0,,all_channels,True,2021-11-18,2022-01-02
45,Urban Blowout 2021,fixed,50.0,200000.0,Streetwear,online,False,2021-07-30,2021-09-02
46,Rural Special 2021,percentage,15.0,0.0,Outdoor,in_store,False,2021-01-30,2021-03-01
47,Spring Sale 2022,percentage,12.0,0.0,,all_channels,True,2022-03-18,2022-04-17
48,Mid-Year Sale 2022,percentage,18.0,0.0,,online,False,2022-06-23,2022-07-22
49,Fall Launch 2022,percentage,10.0,0.0,,all_channels,False,2022-08-31,2022-10-01
50,Year-End Sale 2022,percentage,20.0,50000.0,,all_channels,False,2022-11-18,2022-12-31
