return_id,order_id,product_id,return_quantity,return_date,return_reason,refund_amount
RET-000001,2,609,6,2012-07-25,late_delivery,52458.01
RET-000002,32,1862,2,2012-07-16,wrong_size,5141.37
RET-000003,35,2359,1,2012-07-16,wrong_size,5315.95
RET-000004,47,1449,4,2012-07-11,wrong_size,6493.75
RET-000005,47,1450,1,2012-07-25,wrong_size,1740.76
RET-000006,59,671,1,2012-07-19,defective,10086.33
RET-000007,67,604,1,2012-07-16,wrong_size,5713.22
RET-000008,102,467,1,2012-07-17,defective,9724.09
RET-000010,108,635,5,2012-07-30,wrong_size,43387.54
RET-000012,132,103,2,2012-07-29,changed_mind,19200.35
RET-000013,135,1668,1,2012-07-12,not_as_described,4834.0
RET-000014,144,396,2,2012-07-18,changed_mind,21480.07
RET-000015,146,2064,8,2012-07-29,changed_mind,45752.21
RET-000016,147,1156,1,2012-07-15,changed_mind,3585.13
RET-000018,192,1086,1,2012-07-14,wrong_size,977.65
RET-000019,211,1228,2,2012-07-28,wrong_size,2963.07
RET-000020,305,2250,1,2012-07-27,defective,1461.39
RET-000021,305,2251,1,2012-07-20,wrong_size,1511.59
RET-000022,336,396,5,2012-07-14,late_delivery,51989.35
RET-000024,373,647,1,2012-07-31,defective,10993.16
RET-000025,405,1085,1,2012-07-27,changed_mind,1030.19
RET-000026,405,1086,1,2012-07-24,changed_mind,996.14
RET-000027,409,635,1,2012-07-28,defective,9498.84
RET-000028,412,676,2,2012-08-04,wrong_size,18304.91
RET-000029,423,495,5,2012-07-24,defective,42109.26
RET-000030,430,475,4,2012-07-21,changed_mind,50712.69
RET-000032,530,1926,3,2012-07-17,not_as_described,3128.82
RET-000033,530,1927,1,2012-07-31,defective,989.52
RET-000034,533,1003,3,2012-07-19,changed_mind,2984.49
RET-000035,535,757,2,2012-07-18,changed_mind,1722.68
RET-000036,573,604,2,2012-07-27,defective,12072.58
RET-000037,574,1001,5,2012-08-04,defective,23287.95
RET-000038,584,396,5,2012-07-25,wrong_size,47746.91
RET-000039,587,94,8,2012-07-22,not_as_described,78524.23
RET-000040,610,604,1,2012-07-27,defective,5473.26
RET-000043,637,739,1,2012-07-25,changed_mind,1753.14
RET-000044,665,676,5,2012-07-22,changed_mind,42988.3
RET-000047,703,785,2,2012-07-26,wrong_size,1313.76
RET-000048,703,786,6,2012-08-05,wrong_size,3896.87
RET-000049,705,413,4,2012-07-22,defective,52503.65
RET-000050,720,396,1,2012-07-15,not_as_described,9949.49
RET-000052,751,725,2,2012-07-19,not_as_described,2735.52
RET-000053,751,726,4,2012-07-22,not_as_described,5243.86
RET-000054,783,1014,2,2012-07-26,not_as_described,1783.07
RET-000055,790,1201,8,2012-07-29,wrong_size,50934.33
RET-000056,815,2240,1,2012-07-24,wrong_size,1035.69
RET-000057,815,2241,2,2012-08-04,wrong_size,2126.95
RET-000059,839,1490,1,2012-07-19,wrong_size,3063.89
RET-000060,841,1451,4,2012-07-19,wrong_size,16827.48
RET-000061,841,1452,3,2012-07-26,wrong_size,13759.34
RET-000062,879,992,1,2012-07-29,wrong_size,3013.98
RET-000066,953,2064,1,2012-07-31,changed_mind,6477.59
RET-000067,982,1047,2,2012-07-25,defective,5172.68
RET-000068,1019,2253,1,2012-07-25,changed_mind,1525.9
RET-000070,1039,1916,2,2012-08-04,changed_mind,6379.13
RET-000071,1049,1120,6,2012-07-25,not_as_described,13525.45
RET-000072,1064,647,4,2012-07-23,defective,37090.45
RET-000073,1070,2269,3,2012-07-28,defective,10394.13
RET-000074,1110,2332,6,2012-08-06,wrong_size,33066.93
RET-000076,1155,2234,5,2012-07-28,changed_mind,3996.66
RET-000078,1169,2204,1,2012-07-29,defective,1657.8
RET-000079,1239,2407,2,2012-07-23,wrong_size,1804.34
RET-000082,1294,2388,1,2012-07-28,not_as_described,3588.15
RET-000083,1323,573,8,2012-07-27,defective,29572.42
RET-000084,1338,484,2,2012-07-21,changed_mind,28510.69
RET-000085,1358,2234,5,2012-07-26,defective,3623.06
RET-000086,1358,2235,3,2012-07-29,wrong_size,2321.11
RET-000087,1368,1426,1,2012-08-07,defective,3597.4
RET-000088,1376,565,1,2012-07-17,defective,10091.16
RET-000090,1395,622,3,2012-07-29,defective,28117.7
RET-000091,1434,559,5,2012-07-24,changed_mind,33389.26
RET-000092,1447,606,1,2012-07-24,wrong_size,3769.33
RET-000093,1476,2054,7,2012-07-21,changed_mind,47099.43
RET-000095,1499,596,1,2012-07-26,defective,8450.74
RET-000096,1513,1227,2,2012-08-02,wrong_size,7072.27
RET-000097,1519,2379,6,2012-07-21,wrong_size,13192.91
RET-000098,1524,976,1,2012-08-09,not_as_described,3498.2
RET-000099,1536,895,2,2012-07-22,wrong_size,12197.78
RET-000102,1565,976,1,2012-07-29,defective,3556.47
RET-000103,1600,1974,2,2012-07-31,wrong_size,1339.38
RET-000104,1608,2396,5,2012-07-28,not_as_described,5051.09
RET-000105,1623,604,3,2012-07-30,defective,17521.98
RET-000106,1642,1360,1,2012-08-10,wrong_size,4607.58
RET-000107,1669,785,2,2012-08-05,late_delivery,1296.72
RET-000108,1674,758,1,2012-07-31,wrong_size,866.92
RET-000109,1686,622,2,2012-07-25,late_delivery,18018.15
RET-000112,1740,785,2,2012-08-13,not_as_described,1287.11
