date,traffic_source,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec
2013-01-01,organic_search,9760,7253,39093,0.00514,102.9
2013-01-02,organic_search,10456,8151,47611,0.00406,120.5
2013-01-03,direct,10076,7458,36963,0.00401,263.6
2013-01-04,direct,9973,8063,53078,0.00562,151.8
2013-01-05,referral,10223,7882,36790,0.00525,168.6
2013-01-06,social_media,9545,6992,47160,0.00438,263.6
2013-01-07,organic_search,10203,7354,32749,0.00443,252.1
2013-01-08,paid_search,9456,7459,31482,0.0044,192.4
2013-01-09,organic_search,9162,7108,46717,0.00409,312.8
2013-01-10,organic_search,9887,7878,38472,0.00544,285.4
2013-01-11,social_media,9412,7368,46916,0.00356,238.2
2013-01-12,paid_search,8730,6136,33336,0.00386,193.3
2013-01-13,paid_search,8818,6863,35427,0.00372,308.8
2013-01-14,paid_search,8230,6203,35402,0.004,301.5
2013-01-15,direct,8102,6179,39490,0.00445,314.0
2013-01-16,paid_search,9373,7503,37034,0.00446,284.4
2013-01-17,social_media,9819,7503,48840,0.00495,162.5
2013-01-18,email_campaign,10041,7821,35761,0.00509,182.0
2013-01-19,organic_search,8746,6138,33440,0.00546,223.1
2013-01-20,email_campaign,10270,8030,35184,0.00501,283.9
2013-01-21,paid_search,10339,8283,40661,0.00429,152.6
2013-01-22,email_campaign,10100,7469,39597,0.00504,250.0
2013-01-23,referral,9307,7261,39117,0.00451,243.9
2013-01-24,organic_search,9698,7034,36976,0.00503,144.4
2013-01-25,email_campaign,10600,7868,42453,0.00385,195.6
2013-01-26,organic_search,10226,8004,42655,0.00566,245.5
2013-01-27,referral,8604,6327,44601,0.00554,222.6
2013-01-28,direct,9701,7636,51697,0.00447,258.0
2013-01-29,email_campaign,8638,6928,42663,0.00329,299.3
2013-01-30,paid_search,8596,6245,30451,0.00394,173.9
2013-01-31,paid_search,8915,6530,47230,0.00344,109.4
2013-02-01,organic_search,15758,11220,63433,0.00409,116.7
2013-02-02,email_campaign,15027,12295,56597,0.0039,208.2
2013-02-03,social_media,14372,10507,72606,0.0043,215.7
2013-02-04,organic_search,15623,12726,62972,0.00524,194.6
2013-02-05,social_media,14177,11064,62917,0.00429,138.2
2013-02-06,referral,14103,10525,66736,0.00367,286.6
2013-02-07,paid_search,14761,10967,66344,0.005,190.5
2013-02-08,social_media,14467,10993,59452,0.00549,227.1
2013-02-09,social_media,14578,10995,47223,0.00548,237.0
2013-02-10,organic_search,16602,12760,61322,0.00387,199.5
2013-02-11,paid_search,15063,11080,60064,0.00526,223.3
2013-02-12,social_media,15368,11408,65858,0.00363,162.4
2013-02-13,social_media,13346,9812,50414,0.0047,193.8
2013-02-14,paid_search,17180,13040,85934,0.00387,254.4
2013-02-15,paid_search,13633,10416,74873,0.00565,238.7
2013-02-16,direct,15360,12159,73050,0.00487,203.7
2013-02-17,organic_search,14662,10421,77351,0.00468,314.8
2013-02-18,organic_search,13304,9946,43820,0.00573,140.6
2013-02-19,paid_search,16231,11522,82447,0.00365,173.8
2013-02-20,paid_search,14347,11037,75545,0.00396,224.8
2013-02-21,organic_search,14194,11525,54818,0.00546,118.2
2013-02-22,organic_search,15750,12758,61771,0.00439,239.1
2013-02-23,organic_search,14540,11603,61974,0.00358,189.1
2013-02-24,organic_search,13758,9915,63623,0.00527,147.8
2013-02-25,paid_search,13676,10852,72244,0.00518,177.9
2013-02-26,social_media,15824,11642,60025,0.00333,169.9
2013-02-27,direct,15908,11989,72791,0.00323,290.3
2013-02-28,email_campaign,15284,11512,56308,0.00441,286.2
2013-03-01,organic_search,20573,15216,82066,0.0047,125.7
2013-03-02,organic_search,18275,14004,64834,0.00437,161.4
2013-03-03,paid_search,19075,15498,69465,0.00346,286.8
2013-03-04,organic_search,21760,16400,112923,0.00459,204.5
2013-03-05,paid_search,21169,15161,90533,0.00389,283.0
2013-03-06,paid_search,19422,13780,66932,0.00558,143.8
2013-03-07,referral,20205,14897,74215,0.00534,308.2
2013-03-08,paid_search,21327,17243,72483,0.00557,127.9
2013-03-09,referral,20046,15758,91235,0.00377,314.3
2013-03-10,organic_search,19505,15320,104073,0.00354,185.0
2013-03-11,direct,21480,15406,115544,0.00419,296.4
